Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,MovesProcessed,Clock
Blitz swiss https://lichess.org/swiss/uarfzSPu,https://lichess.org/72idPFd0,2024.08.01,-,MulengacFelisters,xvidda,0-1,2024.08.01,20:54:13,1988,2085,,,B00,Nimzowitsch Defense: Declined Variation,180+2,Time forfeit,"1. e4 1... Nc6 2. Nf3 2... d5 3. Nc3 3... dxe4 4. Nxe4 4... f5 5. Nc3 5... e5 6. Bc4 6... e4 7. Ng1 7... Nf6 8. d3 8... Ne5 9. Bg5 9...
exd3 10. Bxd3 10... Qe7 11. Nge2 11... h6 12.
Bxf6 12... Qxf6 13. Qd2 13... Bd7 14. O-O-O 14... O-O-O 15. Nd5 15... Qe6 16. Ndf4 16... Qxa2 17. c3 17... Nxd3 18. Qxd3 18... Qa1 19. Qb1 19... Qa4 20. Rd2 20... g5 21. Ng6 21... Rg8 22.
Nxf8 22... Rgxf8 23. Rhd1 23... f4 24. Rd4 24...
Qa6 25. Qc2 25... b6 26. f3 26... Qb5 27. Rd5 27... Qc6 28. Qe4 28... Kb7 29. Nd4 29... Qa4 30. Rxd7 30... Kc8",1. 0:02:13 1... 0:02:59 2. 0:02:12 2... 0:03:00 3. 0:02:05 3... 0:03:00 4. 0:02:04 4... 0:03:01 5. 0:02:03 5... 0:03:01 6. 0:02:01 6... 0:02:59 7. 0:01:49 7... 0:02:59 8. 0:01:45 8... 0:02:59 9. 0:01:24 9... 0:02:55 10. 0:01:17 10... 0:02:55 11. 0:01:10 11... 0:02:52 12. 0:01:10 12... 0:02:54 13. 0:01:08 13... 0:02:54 14. 0:01:05 14... 0:02:54 15. 0:01:01 15... 0:02:50 16. 0:00:52 16... 0:02:47 17. 0:00:50 17... 0:02:30 18. 0:00:45 18... 0:02:30 19. 0:00:46 19... 0:02:23 20. 0:00:30 20... 0:02:23 21. 0:00:23 21... 0:02:23 22. 0:00:23 22... 0:02:25 23. 0:00:25 23... 0:02:26 24. 0:00:21 24... 0:02:25 25. 0:00:19 25... 0:02:20 26. 0:00:20 26... 0:02:19 27. 0:00:18 27... 0:02:16 28. 0:00:08 28... 0:02:11 29. 0:00:06 29... 0:02:07 30. 0:00:04 30... 0:02:06
Blitz swiss https://lichess.org/swiss/uarfzSPu,https://lichess.org/0oLM7wC9,2024.08.01,-,ErikSaiyangod,Chokhmahwisdom,1-0,2024.08.01,20:54:13,1996,1901,,,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+2,Normal,"1. e4 1... d5 2. exd5 2... Qxd5 3. Nf3 3... Qd6 4. Nc3 4... c6 5. Bc4 5... Nf6 6. d3 6...
Bg4 7. Bg5 7... Nbd7 8. Bh4 8... h6 9. Bg3 9... e5 10. h3 10... Bh5 11. Qe2 11... Bxf3 12.
Qxf3 12... O-O-O 13. O-O-O 13... Nb6 14. Bxf7 14... g5 15. Rhe1 15... Qc5 16. Be6 16... Kb8 17.
Qxf6 17... Ka8 18. Rxe5 18... Qb4 19. Qxd8",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:02 3. 0:03:00 3... 0:03:04 4. 0:02:58 4... 0:03:04 5. 0:02:58 5... 0:03:06 6. 0:02:58 6... 0:03:07 7. 0:02:55 7... 0:03:08 8. 0:02:52 8... 0:02:54 9. 0:02:53 9... 0:02:53 10. 0:02:52 10... 0:02:51 11. 0:02:52 11... 0:02:48 12. 0:02:51 12... 0:02:46 13. 0:02:51 13... 0:02:39 14. 0:02:51 14... 0:02:33 15. 0:02:47 15... 0:01:59 16. 0:02:26 16... 0:01:53 17. 0:02:25 17... 0:01:47 18. 0:02:22 18... 0:01:39 19. 0:02:11
Blitz swiss https://lichess.org/swiss/uarfzSPu,https://lichess.org/clJeCp9A,2024.08.01,-,Disciplinary-Killer,thedestroyers,1-0,2024.08.01,20:54:13,1810,1768,,,B23,Sicilian Defense: Closed,180+2,Normal,"1. Nc3 1... c5 2. e4 2... e6 3. d3 3... Nc6 4. Nge2 4... b6 5. Ng3 5... Bb7 6. Be2 6... Bd6 7. Bf3 7... Bxg3 8.
hxg3 8... Qf6 9. Be3 9... e5 10. Qe2 10... h6 11. Nd5 11... Qd8 12.
Bh5 12... Nce7 13. Qf3 13... Bxd5 14. exd5 14... g6 15. Bg4 15... d6 16.
Qe2 16... Nf6 17. c4 17... h5 18. Bf3 18... Nf5 19. Bg5 19... Nd4 20.
Qd2 20... Kf8 21. g4 21... Kg7 22. gxh5 22... Nxf3 23. gxf3 23... gxh5 24. O-O-O 24... Qg8 25. Rdg1 25... Ng4 26. fxg4 26... h4 27. Bxh4 27... Kf8 28. g5 28... Qg6 29.
f4 29... Ke8 30. fxe5 30... dxe5 31. Qe3 31... Kd7 32. Qxe5 32... Qxd3 33. Rd1 33... Qxc4 34. Kb1 34... Rxh4 35. Rxh4 35... Qxh4 36. d6 36... Re8 37. Qf5 37... Kd8 38.
d7 38... Rf8 39. Qf6 39... Kc7 40. Qd6 40... Kb7 41. d8=Q 41... Qe4 42. Ka1 42... Rxd8 43. Qxd8 43... Qg4 44. Qd7 44... Qxd7 45. Rxd7",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:03:03 3... 0:03:03 4. 0:03:04 4... 0:03:00 5. 0:03:05 5... 0:03:02 6. 0:03:07 6... 0:03:02 7. 0:03:08 7... 0:03:03 8. 0:03:10 8... 0:03:03 9. 0:03:04 9... 0:03:02 10. 0:03:04 10... 0:02:56 11. 0:03:05 11... 0:02:56 12. 0:02:59 12... 0:02:53 13. 0:02:58 13... 0:02:51 14. 0:02:58 14... 0:02:51 15. 0:02:53 15... 0:02:51 16. 0:02:40 16... 0:02:48 17. 0:02:38 17... 0:02:47 18. 0:02:37 18... 0:02:43 19. 0:02:37 19... 0:02:41 20. 0:02:28 20... 0:02:32 21. 0:02:24 21... 0:02:30 22. 0:02:24 22... 0:02:30 23. 0:02:22 23... 0:02:20 24. 0:02:13 24... 0:02:19 25. 0:02:13 25... 0:01:48 26. 0:02:10 26... 0:01:44 27. 0:02:03 27... 0:01:45 28. 0:01:55 28... 0:01:45 29. 0:01:53 29... 0:01:33 30. 0:01:52 30... 0:01:34 31. 0:01:51 31... 0:01:29 32. 0:01:48 32... 0:01:30 33. 0:01:36 33... 0:01:29 34. 0:01:36 34... 0:01:29 35. 0:01:33 35... 0:01:29 36. 0:01:33 36... 0:01:29 37. 0:01:31 37... 0:01:19 38. 0:01:30 38... 0:01:17 39. 0:01:30 39... 0:01:12 40. 0:01:30 40... 0:01:10 41. 0:01:27 41... 0:01:09 42. 0:01:23 42... 0:01:08 43. 0:01:23 43... 0:01:05 44. 0:01:17 44... 0:01:05 45. 0:01:18
Blitz swiss https://lichess.org/swiss/uarfzSPu,https://lichess.org/0RcCWH8O,2024.08.01,-,Grim1reaper,Muyunda1,0-1,2024.08.01,20:54:13,1978,1811,,,C53,"Italian Game: Classical Variation, La Bourdonnais Variation",180+2,Normal,"1. e4 1... e5 2. Nf3 2... Nc6 3. Bc4 3... Bc5 4. c3 4... d6 5. d4 5... exd4 6. cxd4 6...
Bb6 7. O-O 7... Bg4 8.
d5 8... Ne5 9. Be2 9... h5 10. Bf4 10... Nf6 11. Bxe5 11... dxe5 12. Nxe5 12... Qd6 13. Nc4 13... Qd7 14. Nxb6 14... axb6 15. Nc3 15... O-O-O 16. f3 16... Rh6 17.
fxg4 17... hxg4 18. e5 18... g3 19. exf6 19... Qd6 20. h3 20... gxf6 21.
Bg4 21... Kb8 22. a4 22... Rg8 23. Bf3 23... Rgh8 24. Ne4 24... Qe5 25.
d6 25... f5 26. dxc7 26... Kxc7 27. Rc1 27... Kb8 28. Ng5 28... Qe3 29.
Kh1 29... Qxg5 30. Qd7 30... Rxh3 31. gxh3 31... Rxh3 32. Kg1 32... Qe3 33.
Kg2 33... Rh2 34. Kxg3 34... Qe5",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:01 3. 0:03:02 3... 0:03:02 4. 0:03:02 4... 0:03:04 5. 0:03:03 5... 0:03:06 6. 0:03:05 6... 0:03:06 7. 0:03:01 7... 0:03:06 8. 0:03:01 8... 0:03:06 9. 0:03:01 9... 0:03:05 10. 0:02:54 10... 0:03:00 11. 0:02:52 11... 0:03:00 12. 0:02:53 12... 0:02:57 13. 0:02:52 13... 0:02:51 14. 0:02:45 14... 0:02:53 15. 0:02:45 15... 0:02:53 16. 0:02:29 16... 0:02:52 17. 0:02:29 17... 0:02:53 18. 0:02:29 18... 0:02:41 19. 0:02:12 19... 0:02:41 20. 0:02:09 20... 0:02:41 21. 0:02:07 21... 0:02:42 22. 0:02:03 22... 0:02:40 23. 0:02:02 23... 0:02:32 24. 0:02:02 24... 0:02:25 25. 0:01:49 25... 0:02:25 26. 0:01:49 26... 0:02:18 27. 0:01:49 27... 0:02:19 28. 0:01:39 28... 0:02:19 29. 0:01:37 29... 0:02:20 30. 0:01:32 30... 0:02:08 31. 0:01:32 31... 0:02:09 32. 0:01:33 32... 0:02:09 33. 0:01:29 33... 0:01:17 34. 0:01:29 34... 0:01:16
Blitz swiss https://lichess.org/swiss/uarfzSPu,https://lichess.org/LgG7KjAl,2024.08.01,-,Me-ibeat,Cheng_Cheng,1-0,2024.08.01,20:54:13,2007,1754,,,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+2,Normal,"1. e4 1... d5 2. exd5 2... Qxd5 3. Nf3 3... Nc6 4. Nc3 4... Qd8 5. Bc4 5... Nf6 6. Qe2 6...
e6 7. d3 7... Bb4 8.
Bd2 8... O-O 9. a3 9... Ba5 10. h3 10... Nd4 11. Nxd4 11... Qxd4 12. O-O-O 12... a6 13. Kb1 13... b5 14. Bb3 14...
b4 15. Ne4 15... Nxe4 16. dxe4 16... Bb7 17. Bxb4 17... Qb6 18. Bxf8 18... Rxf8 19. f3 19... Bc6 20. Qd3 20... h6 21.
Ba2 21... Bb5 22. Qd4 22... Qc6 23. c4 23... Bb6 24. Qd3 24... Bxc4 25.
Qxc4 25... Qb7 26. Rd7 26... Qc8 27. Rhd1",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:00 3. 0:03:01 3... 0:03:00 4. 0:03:01 4... 0:03:01 5. 0:03:02 5... 0:02:54 6. 0:03:02 6... 0:02:55 7. 0:02:59 7... 0:02:55 8. 0:02:57 8... 0:02:53 9. 0:02:57 9... 0:02:54 10. 0:02:56 10... 0:02:52 11. 0:02:57 11... 0:02:54 12. 0:02:57 12... 0:02:50 13. 0:02:57 13... 0:02:52 14. 0:02:47 14... 0:02:47 15. 0:02:44 15... 0:02:45 16. 0:02:41 16... 0:02:39 17. 0:02:40 17... 0:02:32 18. 0:02:34 18... 0:02:31 19. 0:02:35 19... 0:02:22 20. 0:02:20 20... 0:02:10 21. 0:02:15 21... 0:02:10 22. 0:02:07 22... 0:02:06 23. 0:02:03 23... 0:02:07 24. 0:01:59 24... 0:01:49 25. 0:01:56 25... 0:01:46 26. 0:01:51 26... 0:01:34 27. 0:01:45
Rated Blitz game,https://lichess.org/Ib9AW2Il,2024.08.01,-,beltavi,sir58,0-1,2024.08.01,20:54:14,1603,1542,,,B12,Caro-Kann Defense,180+2,Time forfeit,"1. e4 1... c6 2. d4 2... Qb6 3. Nf3 3... e6 4. Nc3 4... c5 5. Na4 5... Qa5 6. c3 6...
cxd4 7. Nxd4 7... Nc6 8. b4 8... Qc7 9. Bb5 9... Nxd4 10. Qxd4 10... a6 11. Bd3 11... b5 12.
Nc5 12... Bxc5 13. bxc5 13... Ne7 14. Bg5 14... f6 15. Bh4 15... e5 16. Qd6 16... Qxd6 17.
cxd6 17... Ng6 18. Bg3 18... Bb7 19. Bc2 19... Nf4 20. Bxf4 20... exf4 21. Ke2 21... Rc8 22. Kd2 22... Rc6 23. e5 23...
fxe5 24. Rhe1 24... Rxd6 25. Kc1 25... Re6 26.
Bf5 26... Re7 27. Kb2 27... d6 28. Rad1 28... O-O 29. Be4 29... Bxe4 30.
Rxe4 30... Rd8 31. Rd5 31... Kf7 32. g3 32... fxg3 33. hxg3 33... Ke6 34.
Rd3 34... d5 35. Rg4 35... g6 36. Rh4 36... h5 37. g4 37... e4 38.
Re3 38... hxg4 39. Rxg4 39... Rg7 40. Reg3 40... Rdg8 41. Rg5 41... Kf6 42. Kb3 42... a5 43.
Rxd5 43... a4 44. Kb4 44... Rb7 45. Rd6 45... Ke5 46. Rdxg6 46... Rxg6 47. Rxg6 47... Kf5 48. Rg8 48... Kf4 49. Rf8 49... Kg4 50. Kc5 50... Kh3 51. Rg8 51... Rc7 52.
Kd4 52... Rc4 53. Ke3 53... Rxc3 54. Kxe4 54... Ra3 55. Rh8 55... Kg2 56.
f4 56... Rxa2 57. f5 57... Rf2",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:02 3. 0:03:00 3... 0:03:04 4. 0:02:54 4... 0:03:05 5. 0:02:48 5... 0:03:06 6. 0:02:48 6... 0:03:06 7. 0:02:47 7... 0:02:58 8. 0:02:31 8... 0:02:47 9. 0:02:11 9... 0:02:47 10. 0:02:10 10... 0:02:46 11. 0:02:07 11... 0:02:46 12. 0:02:07 12... 0:02:47 13. 0:02:08 13... 0:02:46 14. 0:01:55 14... 0:02:46 15. 0:01:49 15... 0:02:46 16. 0:01:47 16... 0:02:47 17. 0:01:48 17... 0:02:47 18. 0:01:44 18... 0:02:47 19. 0:01:44 19... 0:02:46 20. 0:01:44 20... 0:02:47 21. 0:01:39 21... 0:02:47 22. 0:01:32 22... 0:02:41 23. 0:01:29 23... 0:02:41 24. 0:01:27 24... 0:02:41 25. 0:01:26 25... 0:02:35 26. 0:01:20 26... 0:02:35 27. 0:01:16 27... 0:02:36 28. 0:01:16 28... 0:02:33 29. 0:01:13 29... 0:02:31 30. 0:01:14 30... 0:02:26 31. 0:01:08 31... 0:02:25 32. 0:01:03 32... 0:02:25 33. 0:01:03 33... 0:02:27 34. 0:00:55 34... 0:02:26 35. 0:00:53 35... 0:02:25 36. 0:00:44 36... 0:02:24 37. 0:00:42 37... 0:02:21 38. 0:00:41 38... 0:02:19 39. 0:00:41 39... 0:02:20 40. 0:00:40 40... 0:02:20 41. 0:00:39 41... 0:02:17 42. 0:00:37 42... 0:02:17 43. 0:00:37 43... 0:02:08 44. 0:00:36 44... 0:02:07 45. 0:00:31 45... 0:02:07 46. 0:00:27 46... 0:02:08 47. 0:00:28 47... 0:02:09 48. 0:00:26 48... 0:02:09 49. 0:00:23 49... 0:02:10 50. 0:00:17 50... 0:02:05 51. 0:00:13 51... 0:02:02 52. 0:00:14 52... 0:01:58 53. 0:00:11 53... 0:01:58 54. 0:00:12 54... 0:01:58 55. 0:00:07 55... 0:01:58 56. 0:00:04 56... 0:01:56 57. 0:00:03 57... 0:01:55
Rated Blitz game,https://lichess.org/ABKwKzER,2024.08.01,-,Theom69nc,undead9nja,1-0,2024.08.01,20:54:16,1523,1500,,,C50,Italian Game,180+2,Normal,"1. e4 1... e5 2. Nf3 2... Nc6 3. Bc4 3... g6 4. O-O 4... d6 5. c3 5... Be6 6. Bb5 6...
Qd7 7. d4 7... exd4 8.
Nxd4 8... a6 9. Ba4 9... Bg7 10. Nxe6 10... fxe6 11. Bf4 11... Nge7 12.
Nd2 12... O-O-O 13. Nc4 13... Qe8 14. Na5 14... h6 15. Qb3 15... b6 16. Nxc6 16... Nxc6 17. c4 17... Kb7 18. Qc2 18... Qf7 19. Bg3 19... h5 20. Bxc6 20... Kxc6 21. b4 21... b5 22.
Rac1 22... Kb7 23. cxb5 23... axb5 24. Qc6 24... Kb8 25. Qxb5 25... Kc8 26. a4 26... e5 27. a5 27... Qd7 28. Qxd7 28... Kxd7 29. a6 29... Ra8 30. b5 30... Rhb8 31.
Rb1 31... Rb6 32. f4 32... Rab8 33. fxe5 33... Bxe5 34. Bxe5 34... dxe5 35. a7 35... Ra8 36. Rfd1 36... Ke7 37. Rdc1 37... Rb7 38. Rc6 38... Kf7 39. Rc5 39... Kf6 40.
Ra1 40... Raxa7 41. Rxa7 41... Rxa7 42. Rc6 42... Kf7 43. Kf2 43... Rb7 44. Rc5 44... Ra7 45.
Ke3 45... Ke7 46. Rxe5 46... Kf6 47. Rc5 47... Ra2 48. Rc6 48... Kg7 49. Rxc7 49... Kh6 50. b6",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:00 3. 0:03:02 3... 0:03:00 4. 0:03:03 4... 0:02:58 5. 0:03:01 5... 0:02:57 6. 0:02:55 6... 0:02:56 7. 0:02:51 7... 0:02:55 8. 0:02:52 8... 0:02:52 9. 0:02:42 9... 0:02:47 10. 0:02:15 10... 0:02:46 11. 0:02:04 11... 0:02:45 12. 0:01:45 12... 0:02:46 13. 0:01:44 13... 0:02:43 14. 0:01:42 14... 0:02:39 15. 0:01:38 15... 0:02:35 16. 0:01:31 16... 0:02:35 17. 0:01:13 17... 0:02:33 18. 0:00:59 18... 0:02:31 19. 0:00:59 19... 0:02:28 20. 0:00:58 20... 0:02:28 21. 0:00:59 21... 0:02:23 22. 0:00:58 22... 0:02:11 23. 0:00:58 23... 0:02:13 24. 0:00:58 24... 0:02:10 25. 0:00:59 25... 0:02:10 26. 0:01:00 26... 0:02:09 27. 0:00:59 27... 0:02:09 28. 0:00:59 28... 0:02:11 29. 0:01:00 29... 0:02:10 30. 0:01:01 30... 0:02:10 31. 0:00:59 31... 0:02:11 32. 0:00:58 32... 0:02:08 33. 0:00:58 33... 0:02:09 34. 0:00:57 34... 0:02:11 35. 0:00:58 35... 0:02:09 36. 0:00:57 36... 0:02:03 37. 0:00:58 37... 0:02:02 38. 0:00:45 38... 0:02:01 39. 0:00:37 39... 0:01:56 40. 0:00:38 40... 0:01:51 41. 0:00:38 41... 0:01:52 42. 0:00:38 42... 0:01:51 43. 0:00:39 43... 0:01:50 44. 0:00:39 44... 0:01:33 45. 0:00:39 45... 0:01:25 46. 0:00:39 46... 0:01:25 47. 0:00:40 47... 0:01:23 48. 0:00:39 48... 0:01:23 49. 0:00:40 49... 0:01:24 50. 0:00:41
Rated Blitz game,https://lichess.org/uDF2Hhbn,2024.08.01,-,Blauregen,OutOfTouch,0-1,2024.08.01,20:54:16,2300,2284,,,D01,Rapport-Jobava System,180+2,Time forfeit,"1. d4 1... Nf6 2. Nc3 2... d5 3. Bf4 3... Bf5 4. e3 4... e6 5. f3 5... Bb4 6. g4 6...
Bg6 7. h4 7... h5 8.
g5 8... Nfd7 9. Bd3 9... c5 10. Bxg6 10... fxg6 11. Qd3 11... Kf7 12.
a3 12... Qa5 13. Ne2 13... Nc6 14. O-O 14... c4 15. Qd2 15... Be7 16.
e4 16... Rhf8 17. Bg3 17... Kg8 18. Kg2 18... Rad8 19. exd5 19... exd5 20. Nf4 20... Rf5 21. Nxg6 21... Nf8 22. Nxe7 22... Nxe7 23. Rae1 23... Nfg6 24. Re6 24... Rdf8 25.
Qe3 25... Qd8 26. Nb5 26... Rf4 27. Nc3 27... Nf5 28. Qe1 28... Nfxh4 29. Bxh4 29... Nxh4 30. Kh3 30... Nxf3 31. Rxf3 31... Rxf3 32. Kh2 32... Qxg5 33. Re5 33... Rf2",1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:03:00 3. 0:03:03 3... 0:03:00 4. 0:03:04 4... 0:03:00 5. 0:03:05 5... 0:02:54 6. 0:03:04 6... 0:02:54 7. 0:03:05 7... 0:02:53 8. 0:03:06 8... 0:02:52 9. 0:03:08 9... 0:02:50 10. 0:03:08 10... 0:02:51 11. 0:03:09 11... 0:02:51 12. 0:03:01 12... 0:02:49 13. 0:02:59 13... 0:02:32 14. 0:02:45 14... 0:02:04 15. 0:02:43 15... 0:01:50 16. 0:02:44 16... 0:01:46 17. 0:02:40 17... 0:01:45 18. 0:02:27 18... 0:01:32 19. 0:02:17 19... 0:01:25 20. 0:02:18 20... 0:01:11 21. 0:02:11 21... 0:01:01 22. 0:01:46 22... 0:01:01 23. 0:01:45 23... 0:00:55 24. 0:01:40 24... 0:00:52 25. 0:01:30 25... 0:00:38 26. 0:01:08 26... 0:00:25 27. 0:00:38 27... 0:00:20 28. 0:00:27 28... 0:00:20 29. 0:00:26 29... 0:00:21 30. 0:00:11 30... 0:00:17 31. 0:00:12 31... 0:00:18 32. 0:00:11 32... 0:00:12 33. 0:00:09 33... 0:00:13
Rated Blitz game,https://lichess.org/MU66NPmM,2024.08.01,-,sanchogo,nicollegarcia,0-1,2024.08.01,20:54:16,1311,1345,,,C44,Ponziani Opening: Ponziani Countergambit,180+2,Time forfeit,1. e4 1... e5 2. Nf3 2... Nc6 3. c3 3... f5 4. exf5 4... e4 5. Nd4 5... Nxd4 6. cxd4 6... d5 7. Nc3 7... Nf6,1. 0:03:00 1... 0:03:00 2. 0:03:01 2... 0:02:58 3. 0:03:03 3... 0:02:58 4. 0:03:04 4... 0:02:59 5. 0:03:00 5... 0:02:58 6. 0:03:00 6... 0:02:59 7. 0:03:01 7... 0:02:58
Rated Blitz game,https://lichess.org/UWZJ9e7H,2024.08.01,-,johannescruz,Khurram7172965,0-1,2024.08.01,20:54:16,1393,1403,,,B21,Sicilian Defense: Smith-Morra Gambit,180+2,Normal,"1. d4 1... c5 2. e4 2... cxd4 3. Qxd4 3... Nc6 4. Qc4 4... Nf6 5. Nc3 5... e6 6. a3 6... Qb6 7. Nf3 7... Ng4 8. Qd3 8... Qxf2 9. Kd1 9...
Bc5 10. b4 10... Ne3 11. Bxe3 11... Bxe3 12. Nb5 12... Bb6 13. Nd6 13... Ke7 14. Qd5 14... exd5",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:03:01 3. 0:03:02 3... 0:03:02 4. 0:03:03 4... 0:03:01 5. 0:03:04 5... 0:03:01 6. 0:03:05 6... 0:02:55 7. 0:03:03 7... 0:02:50 8. 0:02:43 8... 0:02:43 9. 0:00:57 9... 0:02:35 10. 0:00:52 10... 0:02:34 11. 0:00:52 11... 0:02:33 12. 0:00:47 12... 0:02:18 13. 0:00:48 13... 0:02:14 14. 0:00:47 14... 0:02:13
